rational,denominator,classification,period,transient
1/2,2,REACHES_ONE,0,1
1/3,3,PERIODIC,2,0
2/3,3,PERIODIC,2,0
1/4,4,REACHES_ONE,0,2
1/2,4,REACHES_ONE,0,1
3/4,4,REACHES_ONE,0,2
1/5,5,PERIODIC,4,0
2/5,5,PERIODIC,4,0
3/5,5,PERIODIC,4,0
4/5,5,PERIODIC,4,0
1/6,6,PERIODIC,2,0
1/3,6,PERIODIC,2,0
1/2,6,REACHES_ONE,0,1
2/3,6,PERIODIC,2,0
5/6,6,PERIODIC,2,0
1/7,7,PERIODIC,3,0
2/7,7,PERIODIC,3,0
3/7,7,PERIODIC,3,0
4/7,7,PERIODIC,3,0
5/7,7,PERIODIC,3,0
6/7,7,PERIODIC,3,0
1/8,8,REACHES_ONE,0,3
1/4,8,REACHES_ONE,0,2
3/8,8,REACHES_ONE,0,3
1/2,8,REACHES_ONE,0,1
5/8,8,REACHES_ONE,0,3
3/4,8,REACHES_ONE,0,2
7/8,8,REACHES_ONE,0,3
1/9,9,PERIODIC,6,0
2/9,9,PERIODIC,6,0
1/3,9,PERIODIC,2,0
4/9,9,PERIODIC,6,0
5/9,9,PERIODIC,6,0
2/3,9,PERIODIC,2,0
7/9,9,PERIODIC,6,0
8/9,9,PERIODIC,6,0
1/10,10,PERIODIC,4,0
1/5,10,PERIODIC,4,0
3/10,10,PERIODIC,4,0
2/5,10,PERIODIC,4,0
1/2,10,REACHES_ONE,0,1
3/5,10,PERIODIC,4,0
7/10,10,PERIODIC,4,0
4/5,10,PERIODIC,4,0
9/10,10,PERIODIC,4,0
1/11,11,PERIODIC,10,0
2/11,11,PERIODIC,10,0
3/11,11,PERIODIC,10,0
4/11,11,PERIODIC,10,0
5/11,11,PERIODIC,10,0
6/11,11,PERIODIC,10,0
7/11,11,PERIODIC,10,0
8/11,11,PERIODIC,10,0
9/11,11,PERIODIC,10,0
10/11,11,PERIODIC,10,0
1/12,12,PERIODIC,2,1
1/6,12,PERIODIC,2,0
1/4,12,REACHES_ONE,0,2
1/3,12,PERIODIC,2,0
5/12,12,PERIODIC,2,1
1/2,12,REACHES_ONE,0,1
7/12,12,PERIODIC,2,1
2/3,12,PERIODIC,2,0
3/4,12,REACHES_ONE,0,2
5/6,12,PERIODIC,2,0
11/12,12,PERIODIC,2,1
1/13,13,PERIODIC,12,0
2/13,13,PERIODIC,12,0
3/13,13,PERIODIC,12,0
4/13,13,PERIODIC,12,0
5/13,13,PERIODIC,12,0
6/13,13,PERIODIC,12,0
7/13,13,PERIODIC,12,0
8/13,13,PERIODIC,12,0
9/13,13,PERIODIC,12,0
10/13,13,PERIODIC,12,0
11/13,13,PERIODIC,12,0
12/13,13,PERIODIC,12,0
1/14,14,PERIODIC,3,0
1/7,14,PERIODIC,3,0
3/14,14,PERIODIC,3,0
2/7,14,PERIODIC,3,0
5/14,14,PERIODIC,3,0
3/7,14,PERIODIC,3,0
1/2,14,REACHES_ONE,0,1
4/7,14,PERIODIC,3,0
9/14,14,PERIODIC,3,0
5/7,14,PERIODIC,3,0
11/14,14,PERIODIC,3,0
6/7,14,PERIODIC,3,0
13/14,14,PERIODIC,3,0
1/15,15,PERIODIC,4,0
2/15,15,PERIODIC,4,0
1/5,15,PERIODIC,4,0
4/15,15,PERIODIC,4,0
1/3,15,PERIODIC,2,0
2/5,15,PERIODIC,4,0
7/15,15,PERIODIC,4,0
8/15,15,PERIODIC,4,0
3/5,15,PERIODIC,4,0
2/3,15,PERIODIC,2,0
11/15,15,PERIODIC,4,0
4/5,15,PERIODIC,4,0
13/15,15,PERIODIC,4,0
14/15,15,PERIODIC,4,0
1/16,16,REACHES_ONE,0,4
1/8,16,REACHES_ONE,0,3
3/16,16,REACHES_ONE,0,4
1/4,16,REACHES_ONE,0,2
5/16,16,REACHES_ONE,0,4
3/8,16,REACHES_ONE,0,3
7/16,16,REACHES_ONE,0,4
1/2,16,REACHES_ONE,0,1
9/16,16,REACHES_ONE,0,4
5/8,16,REACHES_ONE,0,3
11/16,16,REACHES_ONE,0,4
3/4,16,REACHES_ONE,0,2
13/16,16,REACHES_ONE,0,4
7/8,16,REACHES_ONE,0,3
15/16,16,REACHES_ONE,0,4
1/17,17,PERIODIC,8,0
2/17,17,PERIODIC,8,0
3/17,17,PERIODIC,8,0
4/17,17,PERIODIC,8,0
5/17,17,PERIODIC,8,0
6/17,17,PERIODIC,8,0
7/17,17,PERIODIC,8,0
8/17,17,PERIODIC,8,0
9/17,17,PERIODIC,8,0
10/17,17,PERIODIC,8,0
11/17,17,PERIODIC,8,0
12/17,17,PERIODIC,8,0
13/17,17,PERIODIC,8,0
14/17,17,PERIODIC,8,0
15/17,17,PERIODIC,8,0
16/17,17,PERIODIC,8,0
1/18,18,PERIODIC,6,0
1/9,18,PERIODIC,6,0
1/6,18,PERIODIC,2,0
2/9,18,PERIODIC,6,0
5/18,18,PERIODIC,6,0
1/3,18,PERIODIC,2,0
7/18,18,PERIODIC,6,0
4/9,18,PERIODIC,6,0
1/2,18,REACHES_ONE,0,1
5/9,18,PERIODIC,6,0
11/18,18,PERIODIC,6,0
2/3,18,PERIODIC,2,0
13/18,18,PERIODIC,6,0
7/9,18,PERIODIC,6,0
5/6,18,PERIODIC,2,0
8/9,18,PERIODIC,6,0
17/18,18,PERIODIC,6,0
1/19,19,PERIODIC,18,0
2/19,19,PERIODIC,18,0
3/19,19,PERIODIC,18,0
4/19,19,PERIODIC,18,0
5/19,19,PERIODIC,18,0
6/19,19,PERIODIC,18,0
7/19,19,PERIODIC,18,0
8/19,19,PERIODIC,18,0
9/19,19,PERIODIC,18,0
10/19,19,PERIODIC,18,0
11/19,19,PERIODIC,18,0
12/19,19,PERIODIC,18,0
13/19,19,PERIODIC,18,0
14/19,19,PERIODIC,18,0
15/19,19,PERIODIC,18,0
16/19,19,PERIODIC,18,0
17/19,19,PERIODIC,18,0
18/19,19,PERIODIC,18,0
1/20,20,PERIODIC,4,1
1/10,20,PERIODIC,4,0
3/20,20,PERIODIC,4,1
1/5,20,PERIODIC,4,0
1/4,20,REACHES_ONE,0,2
3/10,20,PERIODIC,4,0
7/20,20,PERIODIC,4,1
2/5,20,PERIODIC,4,0
9/20,20,PERIODIC,4,1
1/2,20,REACHES_ONE,0,1
11/20,20,PERIODIC,4,1
3/5,20,PERIODIC,4,0
13/20,20,PERIODIC,4,1
7/10,20,PERIODIC,4,0
3/4,20,REACHES_ONE,0,2
4/5,20,PERIODIC,4,0
17/20,20,PERIODIC,4,1
9/10,20,PERIODIC,4,0
19/20,20,PERIODIC,4,1
1/21,21,PERIODIC,6,0
2/21,21,PERIODIC,6,0
1/7,21,PERIODIC,3,0
4/21,21,PERIODIC,6,0
5/21,21,PERIODIC,6,0
2/7,21,PERIODIC,3,0
1/3,21,PERIODIC,2,0
8/21,21,PERIODIC,6,0
3/7,21,PERIODIC,3,0
10/21,21,PERIODIC,6,0
11/21,21,PERIODIC,6,0
4/7,21,PERIODIC,3,0
13/21,21,PERIODIC,6,0
2/3,21,PERIODIC,2,0
5/7,21,PERIODIC,3,0
16/21,21,PERIODIC,6,0
17/21,21,PERIODIC,6,0
6/7,21,PERIODIC,3,0
19/21,21,PERIODIC,6,0
20/21,21,PERIODIC,6,0
1/22,22,PERIODIC,10,0
1/11,22,PERIODIC,10,0
3/22,22,PERIODIC,10,0
2/11,22,PERIODIC,10,0
5/22,22,PERIODIC,10,0
3/11,22,PERIODIC,10,0
7/22,22,PERIODIC,10,0
4/11,22,PERIODIC,10,0
9/22,22,PERIODIC,10,0
5/11,22,PERIODIC,10,0
1/2,22,REACHES_ONE,0,1
6/11,22,PERIODIC,10,0
13/22,22,PERIODIC,10,0
7/11,22,PERIODIC,10,0
15/22,22,PERIODIC,10,0
8/11,22,PERIODIC,10,0
17/22,22,PERIODIC,10,0
9/11,22,PERIODIC,10,0
19/22,22,PERIODIC,10,0
10/11,22,PERIODIC,10,0
21/22,22,PERIODIC,10,0
1/23,23,PERIODIC,11,0
2/23,23,PERIODIC,11,0
3/23,23,PERIODIC,11,0
4/23,23,PERIODIC,11,0
5/23,23,PERIODIC,11,0
6/23,23,PERIODIC,11,0
7/23,23,PERIODIC,11,0
8/23,23,PERIODIC,11,0
9/23,23,PERIODIC,11,0
10/23,23,PERIODIC,11,0
11/23,23,PERIODIC,11,0
12/23,23,PERIODIC,11,0
13/23,23,PERIODIC,11,0
14/23,23,PERIODIC,11,0
15/23,23,PERIODIC,11,0
16/23,23,PERIODIC,11,0
17/23,23,PERIODIC,11,0
18/23,23,PERIODIC,11,0
19/23,23,PERIODIC,11,0
20/23,23,PERIODIC,11,0
21/23,23,PERIODIC,11,0
22/23,23,PERIODIC,11,0
1/24,24,PERIODIC,2,2
1/12,24,PERIODIC,2,1
1/8,24,REACHES_ONE,0,3
1/6,24,PERIODIC,2,0
5/24,24,PERIODIC,2,2
1/4,24,REACHES_ONE,0,2
7/24,24,PERIODIC,2,2
1/3,24,PERIODIC,2,0
3/8,24,REACHES_ONE,0,3
5/12,24,PERIODIC,2,1
11/24,24,PERIODIC,2,2
1/2,24,REACHES_ONE,0,1
13/24,24,PERIODIC,2,2
7/12,24,PERIODIC,2,1
5/8,24,REACHES_ONE,0,3
2/3,24,PERIODIC,2,0
17/24,24,PERIODIC,2,2
3/4,24,REACHES_ONE,0,2
19/24,24,PERIODIC,2,2
5/6,24,PERIODIC,2,0
7/8,24,REACHES_ONE,0,3
11/12,24,PERIODIC,2,1
23/24,24,PERIODIC,2,2
1/25,25,PERIODIC,20,0
2/25,25,PERIODIC,20,0
3/25,25,PERIODIC,20,0
4/25,25,PERIODIC,20,0
1/5,25,PERIODIC,4,0
6/25,25,PERIODIC,20,0
7/25,25,PERIODIC,20,0
8/25,25,PERIODIC,20,0
9/25,25,PERIODIC,20,0
2/5,25,PERIODIC,4,0
11/25,25,PERIODIC,20,0
12/25,25,PERIODIC,20,0
13/25,25,PERIODIC,20,0
14/25,25,PERIODIC,20,0
3/5,25,PERIODIC,4,0
16/25,25,PERIODIC,20,0
17/25,25,PERIODIC,20,0
18/25,25,PERIODIC,20,0
19/25,25,PERIODIC,20,0
4/5,25,PERIODIC,4,0
21/25,25,PERIODIC,20,0
22/25,25,PERIODIC,20,0
23/25,25,PERIODIC,20,0
24/25,25,PERIODIC,20,0
1/26,26,PERIODIC,12,0
1/13,26,PERIODIC,12,0
3/26,26,PERIODIC,12,0
2/13,26,PERIODIC,12,0
5/26,26,PERIODIC,12,0
3/13,26,PERIODIC,12,0
7/26,26,PERIODIC,12,0
4/13,26,PERIODIC,12,0
9/26,26,PERIODIC,12,0
5/13,26,PERIODIC,12,0
11/26,26,PERIODIC,12,0
6/13,26,PERIODIC,12,0
1/2,26,REACHES_ONE,0,1
7/13,26,PERIODIC,12,0
15/26,26,PERIODIC,12,0
8/13,26,PERIODIC,12,0
17/26,26,PERIODIC,12,0
9/13,26,PERIODIC,12,0
19/26,26,PERIODIC,12,0
10/13,26,PERIODIC,12,0
21/26,26,PERIODIC,12,0
11/13,26,PERIODIC,12,0
23/26,26,PERIODIC,12,0
12/13,26,PERIODIC,12,0
25/26,26,PERIODIC,12,0
1/27,27,PERIODIC,18,0
2/27,27,PERIODIC,18,0
1/9,27,PERIODIC,6,0
4/27,27,PERIODIC,18,0
5/27,27,PERIODIC,18,0
2/9,27,PERIODIC,6,0
7/27,27,PERIODIC,18,0
8/27,27,PERIODIC,18,0
1/3,27,PERIODIC,2,0
10/27,27,PERIODIC,18,0
11/27,27,PERIODIC,18,0
4/9,27,PERIODIC,6,0
13/27,27,PERIODIC,18,0
14/27,27,PERIODIC,18,0
5/9,27,PERIODIC,6,0
16/27,27,PERIODIC,18,0
17/27,27,PERIODIC,18,0
2/3,27,PERIODIC,2,0
19/27,27,PERIODIC,18,0
20/27,27,PERIODIC,18,0
7/9,27,PERIODIC,6,0
22/27,27,PERIODIC,18,0
23/27,27,PERIODIC,18,0
8/9,27,PERIODIC,6,0
25/27,27,PERIODIC,18,0
26/27,27,PERIODIC,18,0
1/28,28,PERIODIC,3,1
1/14,28,PERIODIC,3,0
3/28,28,PERIODIC,3,1
1/7,28,PERIODIC,3,0
5/28,28,PERIODIC,3,1
3/14,28,PERIODIC,3,0
1/4,28,REACHES_ONE,0,2
2/7,28,PERIODIC,3,0
9/28,28,PERIODIC,3,1
5/14,28,PERIODIC,3,0
11/28,28,PERIODIC,3,1
3/7,28,PERIODIC,3,0
13/28,28,PERIODIC,3,1
1/2,28,REACHES_ONE,0,1
15/28,28,PERIODIC,3,1
4/7,28,PERIODIC,3,0
17/28,28,PERIODIC,3,1
9/14,28,PERIODIC,3,0
19/28,28,PERIODIC,3,1
5/7,28,PERIODIC,3,0
3/4,28,REACHES_ONE,0,2
11/14,28,PERIODIC,3,0
23/28,28,PERIODIC,3,1
6/7,28,PERIODIC,3,0
25/28,28,PERIODIC,3,1
13/14,28,PERIODIC,3,0
27/28,28,PERIODIC,3,1
1/29,29,PERIODIC,28,0
2/29,29,PERIODIC,28,0
3/29,29,PERIODIC,28,0
4/29,29,PERIODIC,28,0
5/29,29,PERIODIC,28,0
6/29,29,PERIODIC,28,0
7/29,29,PERIODIC,28,0
8/29,29,PERIODIC,28,0
9/29,29,PERIODIC,28,0
10/29,29,PERIODIC,28,0
11/29,29,PERIODIC,28,0
12/29,29,PERIODIC,28,0
13/29,29,PERIODIC,28,0
14/29,29,PERIODIC,28,0
15/29,29,PERIODIC,28,0
16/29,29,PERIODIC,28,0
17/29,29,PERIODIC,28,0
18/29,29,PERIODIC,28,0
19/29,29,PERIODIC,28,0
20/29,29,PERIODIC,28,0
21/29,29,PERIODIC,28,0
22/29,29,PERIODIC,28,0
23/29,29,PERIODIC,28,0
24/29,29,PERIODIC,28,0
25/29,29,PERIODIC,28,0
26/29,29,PERIODIC,28,0
27/29,29,PERIODIC,28,0
28/29,29,PERIODIC,28,0
1/30,30,PERIODIC,4,0
1/15,30,PERIODIC,4,0
1/10,30,PERIODIC,4,0
2/15,30,PERIODIC,4,0
1/6,30,PERIODIC,2,0
1/5,30,PERIODIC,4,0
7/30,30,PERIODIC,4,0
4/15,30,PERIODIC,4,0
3/10,30,PERIODIC,4,0
1/3,30,PERIODIC,2,0
11/30,30,PERIODIC,4,0
2/5,30,PERIODIC,4,0
13/30,30,PERIODIC,4,0
7/15,30,PERIODIC,4,0
1/2,30,REACHES_ONE,0,1
8/15,30,PERIODIC,4,0
17/30,30,PERIODIC,4,0
3/5,30,PERIODIC,4,0
19/30,30,PERIODIC,4,0
2/3,30,PERIODIC,2,0
7/10,30,PERIODIC,4,0
11/15,30,PERIODIC,4,0
23/30,30,PERIODIC,4,0
4/5,30,PERIODIC,4,0
5/6,30,PERIODIC,2,0
13/15,30,PERIODIC,4,0
9/10,30,PERIODIC,4,0
14/15,30,PERIODIC,4,0
29/30,30,PERIODIC,4,0
1/31,31,PERIODIC,5,0
2/31,31,PERIODIC,5,0
3/31,31,PERIODIC,5,0
4/31,31,PERIODIC,5,0
5/31,31,PERIODIC,5,0
6/31,31,PERIODIC,5,0
7/31,31,PERIODIC,5,0
8/31,31,PERIODIC,5,0
9/31,31,PERIODIC,5,0
10/31,31,PERIODIC,5,0
11/31,31,PERIODIC,5,0
12/31,31,PERIODIC,5,0
13/31,31,PERIODIC,5,0
14/31,31,PERIODIC,5,0
15/31,31,PERIODIC,5,0
16/31,31,PERIODIC,5,0
17/31,31,PERIODIC,5,0
18/31,31,PERIODIC,5,0
19/31,31,PERIODIC,5,0
20/31,31,PERIODIC,5,0
21/31,31,PERIODIC,5,0
22/31,31,PERIODIC,5,0
23/31,31,PERIODIC,5,0
24/31,31,PERIODIC,5,0
25/31,31,PERIODIC,5,0
26/31,31,PERIODIC,5,0
27/31,31,PERIODIC,5,0
28/31,31,PERIODIC,5,0
29/31,31,PERIODIC,5,0
30/31,31,PERIODIC,5,0
1/32,32,REACHES_ONE,0,5
1/16,32,REACHES_ONE,0,4
3/32,32,REACHES_ONE,0,5
1/8,32,REACHES_ONE,0,3
5/32,32,REACHES_ONE,0,5
3/16,32,REACHES_ONE,0,4
7/32,32,REACHES_ONE,0,5
1/4,32,REACHES_ONE,0,2
9/32,32,REACHES_ONE,0,5
5/16,32,REACHES_ONE,0,4
11/32,32,REACHES_ONE,0,5
3/8,32,REACHES_ONE,0,3
13/32,32,REACHES_ONE,0,5
7/16,32,REACHES_ONE,0,4
15/32,32,REACHES_ONE,0,5
1/2,32,REACHES_ONE,0,1
17/32,32,REACHES_ONE,0,5
9/16,32,REACHES_ONE,0,4
19/32,32,REACHES_ONE,0,5
5/8,32,REACHES_ONE,0,3
21/32,32,REACHES_ONE,0,5
11/16,32,REACHES_ONE,0,4
23/32,32,REACHES_ONE,0,5
3/4,32,REACHES_ONE,0,2
25/32,32,REACHES_ONE,0,5
13/16,32,REACHES_ONE,0,4
27/32,32,REACHES_ONE,0,5
7/8,32,REACHES_ONE,0,3
29/32,32,REACHES_ONE,0,5
15/16,32,REACHES_ONE,0,4
31/32,32,REACHES_ONE,0,5
1/33,33,PERIODIC,10,0
2/33,33,PERIODIC,10,0
1/11,33,PERIODIC,10,0
4/33,33,PERIODIC,10,0
5/33,33,PERIODIC,10,0
2/11,33,PERIODIC,10,0
7/33,33,PERIODIC,10,0
8/33,33,PERIODIC,10,0
3/11,33,PERIODIC,10,0
10/33,33,PERIODIC,10,0
1/3,33,PERIODIC,2,0
4/11,33,PERIODIC,10,0
13/33,33,PERIODIC,10,0
14/33,33,PERIODIC,10,0
5/11,33,PERIODIC,10,0
16/33,33,PERIODIC,10,0
17/33,33,PERIODIC,10,0
6/11,33,PERIODIC,10,0
19/33,33,PERIODIC,10,0
20/33,33,PERIODIC,10,0
7/11,33,PERIODIC,10,0
2/3,33,PERIODIC,2,0
23/33,33,PERIODIC,10,0
8/11,33,PERIODIC,10,0
25/33,33,PERIODIC,10,0
26/33,33,PERIODIC,10,0
9/11,33,PERIODIC,10,0
28/33,33,PERIODIC,10,0
29/33,33,PERIODIC,10,0
10/11,33,PERIODIC,10,0
31/33,33,PERIODIC,10,0
32/33,33,PERIODIC,10,0
1/34,34,PERIODIC,8,0
1/17,34,PERIODIC,8,0
3/34,34,PERIODIC,8,0
2/17,34,PERIODIC,8,0
5/34,34,PERIODIC,8,0
3/17,34,PERIODIC,8,0
7/34,34,PERIODIC,8,0
4/17,34,PERIODIC,8,0
9/34,34,PERIODIC,8,0
5/17,34,PERIODIC,8,0
11/34,34,PERIODIC,8,0
6/17,34,PERIODIC,8,0
13/34,34,PERIODIC,8,0
7/17,34,PERIODIC,8,0
15/34,34,PERIODIC,8,0
8/17,34,PERIODIC,8,0
1/2,34,REACHES_ONE,0,1
9/17,34,PERIODIC,8,0
19/34,34,PERIODIC,8,0
10/17,34,PERIODIC,8,0
21/34,34,PERIODIC,8,0
11/17,34,PERIODIC,8,0
23/34,34,PERIODIC,8,0
12/17,34,PERIODIC,8,0
25/34,34,PERIODIC,8,0
13/17,34,PERIODIC,8,0
27/34,34,PERIODIC,8,0
14/17,34,PERIODIC,8,0
29/34,34,PERIODIC,8,0
15/17,34,PERIODIC,8,0
31/34,34,PERIODIC,8,0
16/17,34,PERIODIC,8,0
33/34,34,PERIODIC,8,0
1/35,35,PERIODIC,12,0
2/35,35,PERIODIC,12,0
3/35,35,PERIODIC,12,0
4/35,35,PERIODIC,12,0
1/7,35,PERIODIC,3,0
6/35,35,PERIODIC,12,0
1/5,35,PERIODIC,4,0
8/35,35,PERIODIC,12,0
9/35,35,PERIODIC,12,0
2/7,35,PERIODIC,3,0
11/35,35,PERIODIC,12,0
12/35,35,PERIODIC,12,0
13/35,35,PERIODIC,12,0
2/5,35,PERIODIC,4,0
3/7,35,PERIODIC,3,0
16/35,35,PERIODIC,12,0
17/35,35,PERIODIC,12,0
18/35,35,PERIODIC,12,0
19/35,35,PERIODIC,12,0
4/7,35,PERIODIC,3,0
3/5,35,PERIODIC,4,0
22/35,35,PERIODIC,12,0
23/35,35,PERIODIC,12,0
24/35,35,PERIODIC,12,0
5/7,35,PERIODIC,3,0
26/35,35,PERIODIC,12,0
27/35,35,PERIODIC,12,0
4/5,35,PERIODIC,4,0
29/35,35,PERIODIC,12,0
6/7,35,PERIODIC,3,0
31/35,35,PERIODIC,12,0
32/35,35,PERIODIC,12,0
33/35,35,PERIODIC,12,0
34/35,35,PERIODIC,12,0
1/36,36,PERIODIC,6,1
1/18,36,PERIODIC,6,0
1/12,36,PERIODIC,2,1
1/9,36,PERIODIC,6,0
5/36,36,PERIODIC,6,1
1/6,36,PERIODIC,2,0
7/36,36,PERIODIC,6,1
2/9,36,PERIODIC,6,0
1/4,36,REACHES_ONE,0,2
5/18,36,PERIODIC,6,0
11/36,36,PERIODIC,6,1
1/3,36,PERIODIC,2,0
13/36,36,PERIODIC,6,1
7/18,36,PERIODIC,6,0
5/12,36,PERIODIC,2,1
4/9,36,PERIODIC,6,0
17/36,36,PERIODIC,6,1
1/2,36,REACHES_ONE,0,1
19/36,36,PERIODIC,6,1
5/9,36,PERIODIC,6,0
7/12,36,PERIODIC,2,1
11/18,36,PERIODIC,6,0
23/36,36,PERIODIC,6,1
2/3,36,PERIODIC,2,0
25/36,36,PERIODIC,6,1
13/18,36,PERIODIC,6,0
3/4,36,REACHES_ONE,0,2
7/9,36,PERIODIC,6,0
29/36,36,PERIODIC,6,1
5/6,36,PERIODIC,2,0
31/36,36,PERIODIC,6,1
8/9,36,PERIODIC,6,0
11/12,36,PERIODIC,2,1
17/18,36,PERIODIC,6,0
35/36,36,PERIODIC,6,1
1/37,37,PERIODIC,36,0
2/37,37,PERIODIC,36,0
3/37,37,PERIODIC,36,0
4/37,37,PERIODIC,36,0
5/37,37,PERIODIC,36,0
6/37,37,PERIODIC,36,0
7/37,37,PERIODIC,36,0
8/37,37,PERIODIC,36,0
9/37,37,PERIODIC,36,0
10/37,37,PERIODIC,36,0
11/37,37,PERIODIC,36,0
12/37,37,PERIODIC,36,0
13/37,37,PERIODIC,36,0
14/37,37,PERIODIC,36,0
15/37,37,PERIODIC,36,0
16/37,37,PERIODIC,36,0
17/37,37,PERIODIC,36,0
18/37,37,PERIODIC,36,0
19/37,37,PERIODIC,36,0
20/37,37,PERIODIC,36,0
21/37,37,PERIODIC,36,0
22/37,37,PERIODIC,36,0
23/37,37,PERIODIC,36,0
24/37,37,PERIODIC,36,0
25/37,37,PERIODIC,36,0
26/37,37,PERIODIC,36,0
27/37,37,PERIODIC,36,0
28/37,37,PERIODIC,36,0
29/37,37,PERIODIC,36,0
30/37,37,PERIODIC,36,0
31/37,37,PERIODIC,36,0
32/37,37,PERIODIC,36,0
33/37,37,PERIODIC,36,0
34/37,37,PERIODIC,36,0
35/37,37,PERIODIC,36,0
36/37,37,PERIODIC,36,0
1/38,38,PERIODIC,18,0
1/19,38,PERIODIC,18,0
3/38,38,PERIODIC,18,0
2/19,38,PERIODIC,18,0
5/38,38,PERIODIC,18,0
3/19,38,PERIODIC,18,0
7/38,38,PERIODIC,18,0
4/19,38,PERIODIC,18,0
9/38,38,PERIODIC,18,0
5/19,38,PERIODIC,18,0
11/38,38,PERIODIC,18,0
6/19,38,PERIODIC,18,0
13/38,38,PERIODIC,18,0
7/19,38,PERIODIC,18,0
15/38,38,PERIODIC,18,0
8/19,38,PERIODIC,18,0
17/38,38,PERIODIC,18,0
9/19,38,PERIODIC,18,0
1/2,38,REACHES_ONE,0,1
10/19,38,PERIODIC,18,0
21/38,38,PERIODIC,18,0
11/19,38,PERIODIC,18,0
23/38,38,PERIODIC,18,0
12/19,38,PERIODIC,18,0
25/38,38,PERIODIC,18,0
13/19,38,PERIODIC,18,0
27/38,38,PERIODIC,18,0
14/19,38,PERIODIC,18,0
29/38,38,PERIODIC,18,0
15/19,38,PERIODIC,18,0
31/38,38,PERIODIC,18,0
16/19,38,PERIODIC,18,0
33/38,38,PERIODIC,18,0
17/19,38,PERIODIC,18,0
35/38,38,PERIODIC,18,0
18/19,38,PERIODIC,18,0
37/38,38,PERIODIC,18,0
1/39,39,PERIODIC,12,0
2/39,39,PERIODIC,12,0
1/13,39,PERIODIC,12,0
4/39,39,PERIODIC,12,0
5/39,39,PERIODIC,12,0
2/13,39,PERIODIC,12,0
7/39,39,PERIODIC,12,0
8/39,39,PERIODIC,12,0
3/13,39,PERIODIC,12,0
10/39,39,PERIODIC,12,0
11/39,39,PERIODIC,12,0
4/13,39,PERIODIC,12,0
1/3,39,PERIODIC,2,0
14/39,39,PERIODIC,12,0
5/13,39,PERIODIC,12,0
16/39,39,PERIODIC,12,0
17/39,39,PERIODIC,12,0
6/13,39,PERIODIC,12,0
19/39,39,PERIODIC,12,0
20/39,39,PERIODIC,12,0
7/13,39,PERIODIC,12,0
22/39,39,PERIODIC,12,0
23/39,39,PERIODIC,12,0
8/13,39,PERIODIC,12,0
25/39,39,PERIODIC,12,0
2/3,39,PERIODIC,2,0
9/13,39,PERIODIC,12,0
28/39,39,PERIODIC,12,0
29/39,39,PERIODIC,12,0
10/13,39,PERIODIC,12,0
31/39,39,PERIODIC,12,0
32/39,39,PERIODIC,12,0
11/13,39,PERIODIC,12,0
34/39,39,PERIODIC,12,0
35/39,39,PERIODIC,12,0
12/13,39,PERIODIC,12,0
37/39,39,PERIODIC,12,0
38/39,39,PERIODIC,12,0
1/40,40,PERIODIC,4,2
1/20,40,PERIODIC,4,1
3/40,40,PERIODIC,4,2
1/10,40,PERIODIC,4,0
1/8,40,REACHES_ONE,0,3
3/20,40,PERIODIC,4,1
7/40,40,PERIODIC,4,2
1/5,40,PERIODIC,4,0
9/40,40,PERIODIC,4,2
1/4,40,REACHES_ONE,0,2
11/40,40,PERIODIC,4,2
3/10,40,PERIODIC,4,0
13/40,40,PERIODIC,4,2
7/20,40,PERIODIC,4,1
3/8,40,REACHES_ONE,0,3
2/5,40,PERIODIC,4,0
17/40,40,PERIODIC,4,2
9/20,40,PERIODIC,4,1
19/40,40,PERIODIC,4,2
1/2,40,REACHES_ONE,0,1
21/40,40,PERIODIC,4,2
11/20,40,PERIODIC,4,1
23/40,40,PERIODIC,4,2
3/5,40,PERIODIC,4,0
5/8,40,REACHES_ONE,0,3
13/20,40,PERIODIC,4,1
27/40,40,PERIODIC,4,2
7/10,40,PERIODIC,4,0
29/40,40,PERIODIC,4,2
3/4,40,REACHES_ONE,0,2
31/40,40,PERIODIC,4,2
4/5,40,PERIODIC,4,0
33/40,40,PERIODIC,4,2
17/20,40,PERIODIC,4,1
7/8,40,REACHES_ONE,0,3
9/10,40,PERIODIC,4,0
37/40,40,PERIODIC,4,2
19/20,40,PERIODIC,4,1
39/40,40,PERIODIC,4,2
1/41,41,PERIODIC,20,0
2/41,41,PERIODIC,20,0
3/41,41,PERIODIC,20,0
4/41,41,PERIODIC,20,0
5/41,41,PERIODIC,20,0
6/41,41,PERIODIC,20,0
7/41,41,PERIODIC,20,0
8/41,41,PERIODIC,20,0
9/41,41,PERIODIC,20,0
10/41,41,PERIODIC,20,0
